"Number","Method","Time","Count","SelfTime"
"69","org.apache.fontbox.util.BoundingBox.<init> ()V","1728215","718761","682977"
"70","java.util.ArrayList.<init> (I)V","85615","80387","85615"
"71","org.apache.fontbox.afm.Ligature.setSuccessor (Ljava/lang/String;)V","35525","104282","34170"
"72","org.apache.fontbox.afm.FontMetrics.setItalicAngle (F)V","26410","60054","25641"
"73","org.apache.fontbox.afm.FontMetrics.setFontName (Ljava/lang/String;)V","25764","60049","24982"
"74","org.apache.fontbox.afm.FontMetrics.setFixedPitch (Z)V","25375","60053","24670"
"75","org.apache.fontbox.afm.Ligature.setLigature (Ljava/lang/String;)V","25393","104282","24187"
"76","org.apache.fontbox.afm.FontMetrics.setUnderlinePosition (F)V","23876","60050","22967"
"77","org.apache.fontbox.afm.FontMetrics.setCharacterSet (Ljava/lang/String;)V","22360","60047","21631"
"78","org.apache.fontbox.afm.FontMetrics.setAFMVersion (F)V","29530","60050","28752"
"79","org.apache.fontbox.afm.FontMetrics.setUnderlineThickness (F)V","19990","60046","19190"
"80","org.apache.fontbox.afm.FontMetrics.setStandardHorizontalWidth (F)V","21206","60058","20418"
"81","org.apache.fontbox.afm.FontMetrics.setFullName (Ljava/lang/String;)V","21252","60044","20511"
"82","org.apache.fontbox.afm.FontMetrics.setFontBBox (Lorg/apache/fontbox/util/BoundingBox;)V","20486","60047","19749"
"83","org.apache.fontbox.afm.FontMetrics.setFamilyName (Ljava/lang/String;)V","20742","60052","19966"
"84","org.apache.fontbox.afm.FontMetrics.setFontVersion (Ljava/lang/String;)V","20158","60049","19425"
"85","org.apache.fontbox.afm.FontMetrics.setNotice (Ljava/lang/String;)V","21777","60048","20910"
"86","org.apache.fontbox.afm.FontMetrics.setCapHeight (F)V","18269","52149","17608"
"87","org.apache.fontbox.afm.FontMetrics.setEncodingScheme (Ljava/lang/String;)V","19589","60058","18788"
"88","org.apache.fontbox.afm.FontMetrics.setAscender (F)V","16732","52152","16064"
"89","org.apache.fontbox.afm.FontMetrics.setWeight (Ljava/lang/String;)V","19711","60049","19021"
"90","org.apache.fontbox.afm.FontMetrics.setStandardVerticalWidth (F)V","19849","60048","19130"
"91","org.apache.fontbox.afm.FontMetrics.setXHeight (F)V","16719","52156","16053"
"92","org.apache.fontbox.afm.FontMetrics.setDescender (F)V","18251","52154","17557"
"93","org.apache.fontbox.afm.AFMParser.<init> (Ljava/io/InputStream;)V","2809437","60050","2798356"
"94","java.lang.Class.getResourceAsStream (Ljava/lang/String;)Ljava/io/InputStream;","38809043","65359","38809043"
"95","java.io.InputStream.close ()V","2410215","66413","2320495"
"96","java.lang.StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;","381621","1138588","381621"
"97","java.util.Set.add (Ljava/lang/Object;)Z","1563352","7398106","1559607"
"98","java.lang.StringBuilder.<init> ()V","1744234","2310751","1744234"
"99","java.util.Map.containsKey (Ljava/lang/Object;)Z","4236910","18540556","4067829"
"100","java.util.Map.get (Ljava/lang/Object;)Ljava/lang/Object;","5093199","8343477","2840651"
"101","java.util.HashSet.<init> (I)V","4893","1581","4893"
"102","org.apache.pdfbox.pdmodel.font.encoding.GlyphList.__STATIC_RESET ()V","80791892","1531","18550"
"103","org.apache.pdfbox.pdmodel.font.encoding.GlyphList.load (Ljava/lang/String;I)Lorg/apache/pdfbox/pdmodel/font/encoding/GlyphList;","95877373","3286","21320"
"104","org.apache.pdfbox.pdmodel.font.encoding.GlyphList.<init> (Ljava/io/InputStream;I)V","93028734","3287","35537"
"105","org.apache.pdfbox.pdmodel.font.encoding.GlyphList.loadList (Ljava/io/InputStream;)V","93277765","3468","36690590"
"106","java.lang.String.split (Ljava/lang/String;)[Ljava/lang/String;","18699718","14515489","18699718"
"107","org.apache.pdfbox.pdmodel.font.encoding.Encoding.contains (Ljava/lang/String;)Z","16375790","36928380","9877722"
"108","java.util.Set.contains (Ljava/lang/Object;)Z","5289959","37349261","5285836"
"109","java.util.HashSet.<init> (Ljava/util/Collection;)V","597406","12933","597400"
"110","java.util.Map.values ()Ljava/util/Collection;","73988","167070","73988"
"111","java.io.BufferedReader.readLine ()Ljava/lang/String;","7375716","7672748","7375716"
"112","java.lang.String.<init> ([III)V","3856997","7402913","3856997"
"113","java.io.BufferedReader.ready ()Z","1419621","7546477","1419621"
"114","java.lang.Integer.parseInt (Ljava/lang/String;I)I","1583546","9002837","1583546"
"115","java.lang.String.startsWith (Ljava/lang/String;)Z","1152898","7912142","1152898"
"116","java.io.BufferedReader.close ()V","102017","3476","102017"
"117","java.io.InputStreamReader.<init> (Ljava/io/InputStream;Ljava/lang/String;)V","131232","3593","131232"
"118","java.io.BufferedReader.<init> (Ljava/io/Reader;)V","9956","3492","9956"
"119","java.util.concurrent.ConcurrentHashMap.<init> ()V","26781","33410","26781"
"120","java.lang.System.getProperty (Ljava/lang/String;)Ljava/lang/String;","1004861","19226","1004861"
"121","org.apache.commons.logging.LogFactory.getLog (Ljava/lang/Class;)Lorg/apache/commons/logging/Log;","2154172","78762","88422"
"122","org.apache.commons.logging.LogFactory.getFactory ()Lorg/apache/commons/logging/LogFactory;","1565186","78767","73407"
"123","org.apache.commons.logging.LogFactory.getContextClassLoaderInternal ()Ljava/lang/ClassLoader;","592889","78767","115133"
"124","java.security.AccessController.doPrivileged (Ljava/security/PrivilegedAction;)Ljava/lang/Object;","511028","78896","251856"
"125","org.apache.commons.logging.LogFactory$1.run ()Ljava/lang/Object;","171534","78767","50342"
"126","org.apache.commons.logging.LogFactory.directGetContextClassLoader ()Ljava/lang/ClassLoader;","121278","78761","55458"
"127","java.lang.Thread.getContextClassLoader ()Ljava/lang/ClassLoader;","43831","76527","43831"
"128","java.lang.Thread.currentThread ()Ljava/lang/Thread;","22001","75012","22001"
"129","org.apache.commons.logging.LogFactory$1.<init> ()V","55103","77860","55103"
"130","org.apache.commons.logging.LogFactory.getCachedFactory (Ljava/lang/ClassLoader;)Lorg/apache/commons/logging/LogFactory;","751377","78767","36360"
"131","java.util.Hashtable.get (Ljava/lang/Object;)Ljava/lang/Object;","1090696","234612","230919"
"132","org.apache.commons.logging.impl.WeakHashtable.get (Ljava/lang/Object;)Ljava/lang/Object;","666944","78767","127523"
"133","org.apache.commons.logging.impl.WeakHashtable$Referenced.equals (Ljava/lang/Object;)Z","178676","78758","90502"
"134","org.apache.commons.logging.impl.WeakHashtable$Referenced.getValue ()Ljava/lang/Object;","74988","154960","51799"
"135","java.lang.ref.WeakReference.get ()Ljava/lang/Object;","23189","149294","23189"
"136","java.lang.Object.equals (Ljava/lang/Object;)Z","47517","285213","47044"
"137","org.apache.commons.logging.impl.WeakHashtable$Referenced.hashCode ()I","14167","73265","14167"
"138","org.apache.commons.logging.impl.WeakHashtable$Referenced.<init> (Ljava/lang/Object;Lorg/apache/commons/logging/impl/WeakHashtable$1;)V","210443","78767","49345"
"139","org.apache.commons.logging.impl.WeakHashtable$Referenced.<init> (Ljava/lang/Object;)V","161098","78761","91013"
"140","java.lang.ref.WeakReference.<init> (Ljava/lang/Object;)V","43550","75998","43550"
"141","java.lang.Object.hashCode ()I","55215","210534","55212"
"142","org.apache.commons.logging.impl.LogFactoryImpl.getInstance (Ljava/lang/Class;)Lorg/apache/commons/logging/Log;","595026","78762","57333"
"143","org.apache.commons.logging.impl.LogFactoryImpl.getInstance (Ljava/lang/String;)Lorg/apache/commons/logging/Log;","646156","78655","30873"
"144","java.lang.Class.getName ()Ljava/lang/String;","17577","73843","17577"
"145","org.apache.pdfbox.pdmodel.font.FontMappers$DefaultFontMapper.__STATIC_RESET ()V","70345649","1342","5017"
"146","org.apache.pdfbox.pdmodel.font.FontMapperImpl.<init> ()V","125118882","1440","15041855"
"147","org.apache.fontbox.ttf.TTFParser.parse (Ljava/io/InputStream;)Lorg/apache/fontbox/ttf/TrueTypeFont;","130708092","2289","58074"
"148","org.apache.fontbox.ttf.TTFParser.parse (Lorg/apache/fontbox/ttf/TTFDataStream;)Lorg/apache/fontbox/ttf/TrueTypeFont;","126291331","2365","60453"
"149","org.apache.fontbox.ttf.TTFParser.parseTables (Lorg/apache/fontbox/ttf/TrueTypeFont;)V","120818258","2301","117904"
"150","org.apache.fontbox.ttf.TrueTypeFont.readTable (Lorg/apache/fontbox/ttf/TTFTable;)V","134898970","46388","160501"
"151","org.apache.fontbox.ttf.CmapTable.read (Lorg/apache/fontbox/ttf/TrueTypeFont;Lorg/apache/fontbox/ttf/TTFDataStream;)V","56418769","2259","1120984"
"152","org.apache.fontbox.ttf.CmapSubtable.initSubtable (Lorg/apache/fontbox/ttf/CmapTable;ILorg/apache/fontbox/ttf/TTFDataStream;)V","55237232","6645","32567"
"153","org.apache.fontbox.ttf.CmapSubtable.processSubtype4 (Lorg/apache/fontbox/ttf/TTFDataStream;I)V","52389805","4390","10501116"
"154","org.apache.fontbox.ttf.CmapSubtable.buildGlyphIdToCharacterCodeLookup (I)V","32099654","5881","16753883"
"155","java.util.Map$Entry.getValue ()Ljava/lang/Object;","3690943","23621984","3690943"
"156","java.util.Map$Entry.getKey ()Ljava/lang/Object;","1789476","11830251","1789476"
"157","org.apache.fontbox.ttf.CmapSubtable.newGlyphIdToCharacterCode (I)[I","194890","6645","181992"
"158","java.util.Arrays.fill ([II)V","12738","6636","12738"
"159","java.util.Set.iterator ()Ljava/util/Iterator;","68846","96989","68846"
"160","java.util.Map.entrySet ()Ljava/util/Set;","57719","91632","57662"
"161","java.lang.Math.max (II)I","2665932","17361087","2665932"
"162","org.apache.fontbox.ttf.TTFDataStream.readUnsignedShortArray (I)[I","1318386","46171","434724"
"163","java.util.Map.isEmpty ()Z","6274","13361","6274"
"164","org.apache.fontbox.ttf.MemoryTTFDataStream.getCurrentPosition ()J","16385","53643","16148"
"165","org.apache.fontbox.ttf.CmapSubtable.processSubtype6 (Lorg/apache/fontbox/ttf/TTFDataStream;I)V","2090664","1491","410945"
"166","org.apache.fontbox.ttf.MemoryTTFDataStream.seek (J)V","425467","2381060","417601"
"167","org.apache.fontbox.ttf.TTFTable.getOffset ()J","34467","168435","33956"
"168","org.apache.fontbox.ttf.CmapSubtable.<init> ()V","31308","6645","21405"
"169","org.apache.fontbox.ttf.CmapSubtable.initData (Lorg/apache/fontbox/ttf/TTFDataStream;)V","15352","6645","6708"
"170","org.apache.fontbox.ttf.TTFDataStream.readUnsignedInt ()J","4143421","6668242","1933882"
"171","org.apache.fontbox.ttf.TrueTypeFont.getNumberOfGlyphs ()I","55181","14539","12433"
"172","org.apache.fontbox.ttf.PostScriptTable.read (Lorg/apache/fontbox/ttf/TrueTypeFont;Lorg/apache/fontbox/ttf/TTFDataStream;)V","31279231","2259","7308539"
"173","org.apache.fontbox.ttf.TTFDataStream.readString (I)Ljava/lang/String;","20007880","5735853","2339890"
"174","org.apache.fontbox.ttf.TTFDataStream.readString (ILjava/nio/charset/Charset;)Ljava/lang/String;","18206096","5824661","3034704"
"175","org.apache.fontbox.ttf.TTFDataStream.read (I)[B","10208986","5827670","4386931"
"176","org.apache.fontbox.ttf.MemoryTTFDataStream.read ([BII)I","5301713","5781006","3087930"
"177","java.lang.System.arraycopy (Ljava/lang/Object;ILjava/lang/Object;II)V","3076439","15438967","3076439"
"178","java.lang.Math.min (II)I","2774853","22941709","2774853"
"179","java.lang.String.<init> ([BLjava/nio/charset/Charset;)V","5892576","6680247","5892576"
"180","org.apache.fontbox.ttf.TTFDataStream.readUnsignedByte ()I","4833546","9700859","2057537"
"181","org.apache.fontbox.ttf.TTFDataStream.read32Fixed ()F","255925","16100","19492"
"182","org.apache.fontbox.ttf.MemoryTTFDataStream.readSignedShort ()S","2645822","8451136","1650145"
"183","org.apache.fontbox.ttf.GlyphTable.read (Lorg/apache/fontbox/ttf/TrueTypeFont;Lorg/apache/fontbox/ttf/TTFDataStream;)V","13440650","2305","480566"
"184","org.apache.fontbox.ttf.TrueTypeFont.getIndexToLocation ()Lorg/apache/fontbox/ttf/IndexToLocationTable;","12962323","4618","6184"
"185","org.apache.fontbox.ttf.TrueTypeFont.getTable (Ljava/lang/String;)Lorg/apache/fontbox/ttf/TTFTable;","14613043","308956","186309"
"186","org.apache.fontbox.ttf.IndexToLocationTable.read (Lorg/apache/fontbox/ttf/TrueTypeFont;Lorg/apache/fontbox/ttf/TTFDataStream;)V","12928730","2305","6186476"
"187","org.apache.fontbox.ttf.HeaderTable.getIndexToLocFormat ()S","2362672","12850412","1817970"
"188","org.apache.fontbox.ttf.TrueTypeFont.getHeader ()Lorg/apache/fontbox/ttf/HeaderTable;","239583","4894","5061"
"189","org.apache.fontbox.ttf.HeaderTable.read (Lorg/apache/fontbox/ttf/TrueTypeFont;Lorg/apache/fontbox/ttf/TTFDataStream;)V","223138","2312","17018"
