"Number","Method","Time","Count","SelfTime"
"53","org.apache.commons.collections4.map.AbstractLinkedMap.mapIterator ()Lorg/apache/commons/collections4/OrderedMapIterator;","27940","1143","22176"
"54","org.apache.commons.collections4.map.AbstractLinkedMap$LinkMapIterator.<init> (Lorg/apache/commons/collections4/map/AbstractLinkedMap;)V","4909","860","1704"
"55","org.apache.commons.collections4.map.AbstractLinkedMap$LinkIterator.<init> (Lorg/apache/commons/collections4/map/AbstractLinkedMap;)V","31478","13874","31478"
"56","org.apache.commons.collections4.map.AbstractHashedMap.mapIterator ()Lorg/apache/commons/collections4/MapIterator;","20576","1542","15495"
"57","org.apache.commons.collections4.map.AbstractHashedMap$HashMapIterator.<init> (Lorg/apache/commons/collections4/map/AbstractHashedMap;)V","4705","1135","1663"
"58","org.apache.commons.collections4.map.AbstractHashedMap$HashIterator.<init> (Lorg/apache/commons/collections4/map/AbstractHashedMap;)V","45515","24374","45515"
"59","org.apache.commons.collections4.map.AbstractLinkedMap$LinkIterator.hasNext ()Z","181831","1707708","181831"
"60","org.apache.commons.collections4.map.AbstractHashedMap$HashIterator.hasNext ()Z","134142","367285","134142"
"61","org.apache.commons.collections4.map.AbstractMapDecorator.equals (Ljava/lang/Object;)Z","304369","8991","25204"
"62","org.apache.commons.collections4.keyvalue.MultiKey.equals (Ljava/lang/Object;)Z","24012","26941","15967"
"63","java.util.Arrays.equals ([Ljava/lang/Object;[Ljava/lang/Object;)Z","8175","26218","8109"
"64","org.apache.commons.collections4.keyvalue.MultiKey.hashCode ()I","6756","32633","6756"
"65","org.apache.commons.collections4.map.MultiKeyMap.decorated ()Ljava/util/Map;","10926","5342","4947"
"66","org.apache.commons.collections4.map.MultiKeyMap.decorated ()Lorg/apache/commons/collections4/map/AbstractHashedMap;","7259","6123","5091"
"67","org.apache.commons.collections4.map.AbstractMapDecorator.decorated ()Ljava/util/Map;","96116","279583","96116"
"68","org.apache.commons.collections4.map.StaticBucketMap.equals (Ljava/lang/Object;)Z","70304","421","3474"
"69","java.util.Set.equals (Ljava/lang/Object;)Z","117857","956","71151"
"70","org.apache.commons.collections4.map.StaticBucketMap$EntrySet.contains (Ljava/lang/Object;)Z","58390","8993","20605"
"71","org.apache.commons.collections4.map.StaticBucketMap$Node.equals (Ljava/lang/Object;)Z","35896","18928","20605"
"72","java.util.Map$Entry.getKey ()Ljava/lang/Object;","366555","795921","285844"
"73","java.util.Map$Entry.getValue ()Ljava/lang/Object;","435837","974576","253864"
"74","org.apache.commons.collections4.map.StaticBucketMap.getHash (Ljava/lang/Object;)I","15139","18126","10112"
"75","java.lang.Object.hashCode ()I","319171","853382","236473"
"76","org.apache.commons.collections4.map.StaticBucketMap$EntrySet.size ()I","16386","2110","7238"
"77","org.apache.commons.collections4.map.StaticBucketMap.size ()I","27557","6311","27557"
"78","org.apache.commons.collections4.map.StaticBucketMap.entrySet ()Ljava/util/Set;","16654","761","9899"
"79","org.apache.commons.collections4.map.StaticBucketMap$EntrySet.<init> (Lorg/apache/commons/collections4/map/StaticBucketMap;Lorg/apache/commons/collections4/map/StaticBucketMap$1;)V","6755","761","1658"
"80","org.apache.commons.collections4.map.StaticBucketMap$EntrySet.<init> (Lorg/apache/commons/collections4/map/StaticBucketMap;)V","5097","760","2532"
"81","java.util.AbstractSet.<init> ()V","62501","24770","62501"
"82","java.util.Map.entrySet ()Ljava/util/Set;","571102","67252","182933"
"83","org.apache.commons.collections4.trie.AbstractPatriciaTrie$EntrySet$EntryIterator.next ()Ljava/lang/Object;","922157","193032","86651"
"84","org.apache.commons.collections4.trie.AbstractPatriciaTrie$EntrySet$EntryIterator.next ()Ljava/util/Map$Entry;","835506","193032","87107"
