"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","111373700","1","24014013"
"2","org.apache.commons.collections4.junit.SetDefaultLocaleTestRule$1.evaluate ()V","14130824","39644","225576"
"3","org.junit.runners.model.Statement.evaluate ()V","13731055","39644","773118"
"4","org.apache.commons.collections4.MapUtilsTest.testgetShortValue ()V","2752616","748","27553"
"5","org.apache.commons.collections4.MapUtils.getShortValue (Ljava/util/Map;Ljava/lang/Object;S)S","2688922","2244","6630"
"6","org.apache.commons.collections4.MapUtils.getShort (Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Short;","2685256","5236","11520"
"7","org.apache.commons.collections4.MapUtils.getNumber (Ljava/util/Map;Ljava/lang/Object;)Ljava/lang/Number;","3283204","33660","56400"
"8","java.text.NumberFormat.getInstance ()Ljava/text/NumberFormat;","3217832","6732","3217832"
"9","java.text.NumberFormat.parse (Ljava/lang/String;)Ljava/lang/Number;","202854","5236","202854"
"10","java.util.Map.get (Ljava/lang/Object;)Ljava/lang/Object;","451920","437542","239965"
"11","java.lang.Number.shortValue ()S","2770","748","2770"
"12","java.lang.Short.valueOf (S)Ljava/lang/Short;","5258","2992","5258"
"13","java.lang.Short.shortValue ()S","3058","3740","3058"
"14","java.util.HashMap.<init> ()V","226554","66163","226554"
"15","java.util.Map.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","6141302","929549","1295289"
"16","org.apache.commons.collections4.MapUtils.getShortValue (Ljava/util/Map;Ljava/lang/Object;)S","4812","1496","1907"
"17","org.junit.Assert.assertEquals (FFF)V","28622","21692","28622"
"18","org.apache.commons.collections4.MapUtils.getShort (Ljava/util/Map;Ljava/lang/Object;Ljava/lang/Short;)Ljava/lang/Short;","3106","1496","1032"
"19","org.apache.commons.collections4.MapUtilsTest.testLazyMapFactory ()V","912302","748","69532"
"20","org.apache.commons.collections4.MapUtils.lazyMap (Ljava/util/Map;Lorg/apache/commons/collections4/Factory;)Lorg/apache/commons/collections4/IterableMap;","437744","2244","54951"
"21","org.apache.commons.collections4.map.LazyMap.lazyMap (Ljava/util/Map;Lorg/apache/commons/collections4/Factory;)Lorg/apache/commons/collections4/map/LazyMap;","388094","2319","4712"
"22","org.apache.commons.collections4.map.LazyMap.<init> (Ljava/util/Map;Lorg/apache/commons/collections4/Factory;)V","385362","2391","172062"
"23","java.lang.NullPointerException.<init> (Ljava/lang/String;)V","703566","6966","703566"
"24","org.apache.commons.collections4.map.AbstractMapDecorator.<init> (Ljava/util/Map;)V","674454","21955","323940"
"25","org.apache.commons.collections4.map.AbstractIterableMap.<init> ()V","58703","20616","58703"
"26","org.apache.commons.collections4.MapUtils.lazyMap (Ljava/util/Map;Lorg/apache/commons/collections4/Transformer;)Lorg/apache/commons/collections4/IterableMap;","380600","2992","48978"
"27","org.apache.commons.collections4.map.LazyMap.lazyMap (Ljava/util/Map;Lorg/apache/commons/collections4/Transformer;)Lorg/apache/commons/collections4/map/LazyMap;","331622","2992","3785"
"28","org.apache.commons.collections4.map.LazyMap.<init> (Ljava/util/Map;Lorg/apache/commons/collections4/Transformer;)V","328205","2998","71699"
"29","org.apache.commons.collections4.functors.FactoryTransformer.factoryTransformer (Lorg/apache/commons/collections4/Factory;)Lorg/apache/commons/collections4/Transformer;","11489","1725","4545"
"30","org.apache.commons.collections4.functors.FactoryTransformer.<init> (Lorg/apache/commons/collections4/Factory;)V","6690","1722","6690"
"31","org.apache.commons.collections4.FactoryUtils.constantFactory (Ljava/lang/Object;)Lorg/apache/commons/collections4/Factory;","10215","752","4836"
"32","org.apache.commons.collections4.functors.ConstantFactory.constantFactory (Ljava/lang/Object;)Lorg/apache/commons/collections4/Factory;","5855","952","2883"
"33","org.apache.commons.collections4.functors.ConstantFactory.<init> (Ljava/lang/Object;)V","2976","753","2976"
"34","org.apache.commons.collections4.TransformerUtils.asTransformer (Lorg/apache/commons/collections4/Factory;)Lorg/apache/commons/collections4/Transformer;","8196","754","2796"
"35","java.lang.Integer.valueOf (I)Ljava/lang/Integer;","197283","851594","197283"
"36","org.junit.Assert.assertTrue (Z)V","15886","14383","15886"
"37","org.apache.commons.collections4.MapUtilsTest.testPutAll_Map_array ()V","712029","748","149798"
"38","org.apache.commons.collections4.MapUtils.putAll (Ljava/util/Map;[Ljava/lang/Object;)Ljava/util/Map;","467135","8976","260737"
"39","java.lang.IllegalArgumentException.<init> (Ljava/lang/String;)V","73892","2358","73892"
"40","java.lang.StringBuilder.append (I)Ljava/lang/StringBuilder;","270781","772240","270781"
"41","java.util.Map$Entry.getKey ()Ljava/lang/Object;","311095","886802","247257"
"42","org.apache.commons.collections4.keyvalue.AbstractKeyValue.getKey ()Ljava/lang/Object;","53128","307619","53128"
"43","java.util.Map$Entry.getValue ()Ljava/lang/Object;","382962","1055529","228839"
"44","org.apache.commons.collections4.keyvalue.AbstractKeyValue.getValue ()Ljava/lang/Object;","17078","100230","17078"
"45","org.apache.commons.collections4.keyvalue.DefaultMapEntry.<init> (Ljava/lang/Object;Ljava/lang/Object;)V","14895","2968","6223"
"46","org.apache.commons.collections4.keyvalue.AbstractMapEntry.<init> (Ljava/lang/Object;Ljava/lang/Object;)V","284224","236065","91928"
"47","org.apache.commons.collections4.keyvalue.AbstractKeyValue.<init> (Ljava/lang/Object;Ljava/lang/Object;)V","195785","238246","195785"
"48","org.apache.commons.collections4.keyvalue.DefaultKeyValue.<init> (Ljava/lang/Object;Ljava/lang/Object;)V","7043","2256","3582"
"49","java.util.Map.size ()I","502583","182176","272875"
"50","java.lang.Boolean.valueOf (Z)Ljava/lang/Boolean;","51667","112673","51667"
"51","org.junit.Assert.assertEquals (Ljava/lang/Object;Ljava/lang/Object;)V","171660","228176","145858"
"52","org.junit.Assert.assertEquals (JJ)V","17133","16759","17133"
"53","java.util.Map.containsKey (Ljava/lang/Object;)Z","615941","278423","242260"
"54","org.apache.commons.collections4.MapUtilsTest.testDebugPrintSelfReference ()V","508142","748","85646"
"55","org.apache.commons.collections4.MapUtils.debugPrint (Ljava/io/PrintStream;Ljava/lang/Object;Ljava/util/Map;)V","1306358","7480","128762"
