"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","87561560","1","12337739"
"2","org.apache.commons.collections4.collection.AbstractCollectionTest.testCollectionRemove ()V","8794353","300","135873"
"3","org.apache.commons.collections4.map.AbstractMapTest$TestMapValues.verify ()V","5520814","3280","37392"
"4","org.apache.commons.collections4.map.AbstractMapTest.verify ()V","28050710","22780","9297168"
"5","org.apache.commons.collections4.map.AbstractMapTest.verifyMap ()V","4287999","22780","562472"
"6","java.util.Map.equals (Ljava/lang/Object;)Z","1611941","61144","302767"
"7","org.apache.commons.collections4.map.AbstractHashedMap.equals (Ljava/lang/Object;)Z","602271","6803","121514"
"8","java.util.Map.get (Ljava/lang/Object;)Ljava/lang/Object;","386480","436869","193692"
"9","org.apache.commons.collections4.comparators.NullComparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","954917","763736","273098"
"10","java.util.Comparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","1776189","1461720","519789"
"11","org.apache.commons.collections4.comparators.ComparableComparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","1256202","1461576","527976"
"12","org.apache.commons.collections4.comparators.ComparableComparator.compare (Ljava/lang/Comparable;Ljava/lang/Comparable;)I","728226","1461418","464114"
"13","java.lang.Comparable.compareTo (Ljava/lang/Object;)I","367469","1940019","367469"
"14","org.apache.commons.collections4.map.AbstractHashedMap.get (Ljava/lang/Object;)Ljava/lang/Object;","24965","9673","12748"
"15","org.apache.commons.collections4.map.IdentityMap.hash (Ljava/lang/Object;)I","11872","24935","7447"
"16","java.lang.System.identityHashCode (Ljava/lang/Object;)I","14340","81472","14340"
"17","org.apache.commons.collections4.map.AbstractHashedMap$HashEntry.getValue ()Ljava/lang/Object;","180644","1822873","180644"
"18","org.apache.commons.collections4.map.AbstractHashedMap.hashIndex (II)I","60451","565588","60451"
"19","org.apache.commons.collections4.map.AbstractHashedMap.convertKey (Ljava/lang/Object;)Ljava/lang/Object;","80257","643064","80257"
"20","org.apache.commons.collections4.map.IdentityMap.isEqualKey (Ljava/lang/Object;Ljava/lang/Object;)Z","3084","20384","3084"
"21","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.hasNext ()Z","483206","184480","247868"
"22","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.getValue ()Ljava/lang/Object;","131211","298888","90609"
"23","java.lang.ref.Reference.get ()Ljava/lang/Object;","95458","668031","95458"
"24","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.getKey ()Ljava/lang/Object;","155655","333295","107052"
"25","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.nextNull ()Z","83466","687709","83466"
"26","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.checkMod ()V","59482","370982","58537"
"27","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceMapIterator.next ()Ljava/lang/Object;","42619","18265","10087"
"28","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.nextEntry ()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;","196232","168425","122907"
"29","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.next ()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;","23390","168223","23390"
"30","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceMapIterator.getValue ()Ljava/lang/Object;","27988","18225","10597"
"31","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.currentEntry ()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;","8837","18283","6158"
"32","org.apache.commons.collections4.map.AbstractLinkedMap$LinkMapIterator.getValue ()Ljava/lang/Object;","180927","428223","119249"
"33","org.apache.commons.collections4.map.AbstractLinkedMap$LinkIterator.currentEntry ()Lorg/apache/commons/collections4/map/AbstractLinkedMap$LinkEntry;","30987","428393","30987"
"34","org.apache.commons.collections4.map.AbstractLinkedMap$LinkMapIterator.next ()Ljava/lang/Object;","191553","428359","118927"
"35","org.apache.commons.collections4.map.AbstractLinkedMap$LinkIterator.nextEntry ()Lorg/apache/commons/collections4/map/AbstractLinkedMap$LinkEntry;","176167","1771106","173807"
"36","org.apache.commons.collections4.map.AbstractHashedMap$HashEntry.getKey ()Ljava/lang/Object;","213267","1693787","213267"
"37","org.apache.commons.collections4.map.AbstractHashedMap$HashMapIterator.next ()Ljava/lang/Object;","31924","31764","19267"
"38","org.apache.commons.collections4.map.AbstractHashedMap$HashIterator.nextEntry ()Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;","83090","370308","78728"
"39","org.apache.commons.collections4.map.AbstractHashedMap$HashMapIterator.getValue ()Ljava/lang/Object;","28767","31610","18562"
"40","org.apache.commons.collections4.map.AbstractHashedMap$HashIterator.currentEntry ()Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;","4986","31238","4986"
"41","java.util.Map.containsKey (Ljava/lang/Object;)Z","650684","278156","246491"
"42","java.util.Map.size ()I","521928","183075","277467"
"43","org.apache.commons.collections4.map.AbstractHashedMap.size ()I","39119","122572","39119"
"44","java.lang.Object.equals (Ljava/lang/Object;)Z","768045","2535027","450473"
"45","org.apache.commons.collections4.map.AbstractLinkedMap.mapIterator ()Lorg/apache/commons/collections4/MapIterator;","11257","2091","2689"
"46","org.apache.commons.collections4.map.AbstractLinkedMap.mapIterator ()Lorg/apache/commons/collections4/OrderedMapIterator;","17185","2189","11284"
