"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","61755031","1","11510874"
"2","org.apache.commons.collections4.collection.AbstractCollectionTest.testCollectionRemove ()V","6649490","300","71206"
"3","org.apache.commons.collections4.map.AbstractMapTest$TestMapKeySet.verify ()V","5127320","4493","12609"
"4","org.apache.commons.collections4.map.AbstractMapTest.verify ()V","18243901","22780","2560263"
"5","org.apache.commons.collections4.map.AbstractMapTest.verifyKeySet ()V","4946889","22780","1372806"
"6","java.util.Set.containsAll (Ljava/util/Collection;)Z","787938","40089","95456"
"7","org.apache.commons.collections4.map.AbstractHashedMap$KeySet.contains (Ljava/lang/Object;)Z","127806","43552","12906"
"8","org.apache.commons.collections4.map.AbstractHashedMap.containsKey (Ljava/lang/Object;)Z","84474","36957","29714"
"9","org.apache.commons.collections4.map.CaseInsensitiveMap.convertKey (Ljava/lang/Object;)Ljava/lang/Object;","74626","17981","28524"
"10","java.lang.String.<init> ([C)V","15860","17736","15860"
"11","java.lang.Character.toLowerCase (C)C","9121","65838","9121"
"12","java.lang.Character.toUpperCase (C)C","10181","65862","10181"
"13","java.lang.String.toCharArray ()[C","9543","16991","9543"
"14","java.lang.Object.toString ()Ljava/lang/String;","1347273","145099","1015832"
"15","org.apache.commons.collections4.map.AbstractHashedMap.hash (Ljava/lang/Object;)I","151424","453297","95427"
"16","java.lang.Object.hashCode ()I","175576","928524","130465"
"17","org.apache.commons.collections4.keyvalue.MultiKey.hashCode ()I","4637","35953","4637"
"18","org.apache.commons.collections4.map.AbstractHashedMap.isEqualKey (Ljava/lang/Object;Ljava/lang/Object;)Z","29360","213875","20708"
"19","java.lang.Object.equals (Ljava/lang/Object;)Z","525506","2538283","322753"
"20","org.apache.commons.collections4.keyvalue.MultiKey.equals (Ljava/lang/Object;)Z","14389","30829","8350"
"21","java.util.Arrays.equals ([Ljava/lang/Object;[Ljava/lang/Object;)Z","6065","30049","6065"
"22","org.apache.commons.collections4.map.AbstractHashedMap.convertKey (Ljava/lang/Object;)Ljava/lang/Object;","73449","647277","73449"
"23","org.apache.commons.collections4.map.AbstractHashedMap.hashIndex (II)I","52545","563158","52545"
"24","org.apache.commons.collections4.map.AbstractReferenceMap.containsKey (Ljava/lang/Object;)Z","41619","10094","5599"
"25","org.apache.commons.collections4.map.AbstractReferenceMap.getEntry (Ljava/lang/Object;)Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;","44499","19969","5395"
"26","org.apache.commons.collections4.map.AbstractHashedMap.getEntry (Ljava/lang/Object;)Lorg/apache/commons/collections4/map/AbstractHashedMap$HashEntry;","121713","54533","44198"
"27","org.apache.commons.collections4.map.ReferenceIdentityMap.isEqualKey (Ljava/lang/Object;Ljava/lang/Object;)Z","10893","16612","6695"
"28","java.lang.ref.Reference.get ()Ljava/lang/Object;","79731","669680","79731"
"29","org.apache.commons.collections4.map.AbstractReferenceMap.isKeyType (Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceStrength;)Z","1971","16378","1971"
"30","org.apache.commons.collections4.map.AbstractReferenceMap.isEqualKey (Ljava/lang/Object;Ljava/lang/Object;)Z","9018","21633","5703"
"31","org.apache.commons.collections4.map.ReferenceIdentityMap.hash (Ljava/lang/Object;)I","5756","14321","3747"
"32","java.lang.System.identityHashCode (Ljava/lang/Object;)I","10456","82551","10456"
"33","java.util.Map$Entry.getValue ()Ljava/lang/Object;","289297","1036677","175813"
"34","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.getValue ()Ljava/lang/Object;","103782","298876","69420"
"35","org.apache.commons.collections4.map.AbstractReferenceMap.purgeBeforeRead ()V","41234","42253","17535"
"36","org.apache.commons.collections4.map.AbstractReferenceMap.purge ()V","26954","50856","17941"
