"Number","Method","Time","Count","SelfTime"
"1","com.intellij.rt.junit.JUnitStarter.main ([Ljava/lang/String;)V","74704648","1","6827230"
"2","org.apache.commons.collections4.collection.AbstractCollectionTest.testCollectionRemove ()V","7969285","238","134505"
"3","org.apache.commons.collections4.map.AbstractMapTest$TestMapValues.verify ()V","5328522","2872","114571"
"4","org.apache.commons.collections4.map.AbstractMapTest.verify ()V","27890670","21234","9811864"
"5","org.apache.commons.collections4.map.AbstractMapTest.verifyMap ()V","3588198","21234","581048"
"6","java.util.Map.equals (Ljava/lang/Object;)Z","1537043","39000","265980"
"7","org.apache.commons.collections4.map.AbstractHashedMap.equals (Ljava/lang/Object;)Z","339078","3327","80696"
"8","java.util.Map.get (Ljava/lang/Object;)Ljava/lang/Object;","255921","241504","129971"
"9","org.apache.commons.collections4.comparators.ComparableComparator.compare (Ljava/lang/Object;Ljava/lang/Object;)I","1241122","1286401","540290"
"10","org.apache.commons.collections4.comparators.ComparableComparator.compare (Ljava/lang/Comparable;Ljava/lang/Comparable;)I","700832","1286326","457515"
"11","java.lang.Comparable.compareTo (Ljava/lang/Object;)I","342510","1756957","342510"
"12","org.apache.commons.collections4.map.AbstractHashedMap.get (Ljava/lang/Object;)Ljava/lang/Object;","18138","5042","9385"
"13","org.apache.commons.collections4.map.IdentityMap.hash (Ljava/lang/Object;)I","13614","19839","7179"
"14","java.lang.System.identityHashCode (Ljava/lang/Object;)I","22661","75801","22661"
"15","org.apache.commons.collections4.map.AbstractHashedMap.convertKey (Ljava/lang/Object;)Ljava/lang/Object;","85788","616884","85788"
"16","org.apache.commons.collections4.map.IdentityMap.isEqualKey (Ljava/lang/Object;Ljava/lang/Object;)Z","2556","15686","2556"
"17","org.apache.commons.collections4.map.AbstractHashedMap.hashIndex (II)I","65074","554419","65074"
"18","org.apache.commons.collections4.map.AbstractHashedMap$HashEntry.getValue ()Ljava/lang/Object;","188876","1775167","188876"
"19","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.hasNext ()Z","541782","169891","276691"
"20","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.getKey ()Ljava/lang/Object;","168151","307233","119936"
"21","java.lang.ref.Reference.get ()Ljava/lang/Object;","98020","616682","98020"
"22","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceEntry.getValue ()Ljava/lang/Object;","144490","273721","101659"
"23","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.nextNull ()Z","92741","634786","92741"
"24","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.checkMod ()V","62204","334566","60888"
"25","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceMapIterator.next ()Ljava/lang/Object;","24423","9002","6791"
"26","org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceBaseIterator.nextEntry ()Lorg/apache/commons/collections4/map/AbstractReferenceMap$ReferenceEntry;","204250","155261","125471"
