"Number","Method","Time","Count","SelfTime"
"72","org.slf4j.impl.SimpleLoggerFactory.getLogger (Ljava/lang/String;)Lorg/slf4j/Logger;","3159","10","21"
"73","org.slf4j.impl.SimpleLogger.<init> (Ljava/lang/String;)V","3102","9","31"
"74","org.slf4j.impl.SimpleLogger.recursivelyComputeLevelString ()Ljava/lang/String;","3048","9","132"
"75","java.lang.String.lastIndexOf (Ljava/lang/String;)I","1044","50","1044"
"76","java.lang.StringBuilder.append (Ljava/lang/String;)Ljava/lang/StringBuilder;","113","106","113"
"77","java.lang.StringBuilder.toString ()Ljava/lang/String;","48","52","48"
"78","java.lang.String.length ()I","13","9","13"
"79","java.lang.String.substring (II)Ljava/lang/String;","45","50","45"
"80","java.lang.String.valueOf (Ljava/lang/Object;)Ljava/lang/String;","22","50","22"
"81","java.lang.StringBuilder.<init> ()V","44","52","44"
"82","org.slf4j.helpers.MarkerIgnoringBase.<init> ()V","23","9","12"
"83","org.slf4j.helpers.NamedLoggerBase.<init> ()V","11","9","11"
"84","java.util.concurrent.ConcurrentMap.get (Ljava/lang/Object;)Ljava/lang/Object;","17","10","17"
"85","java.util.concurrent.ConcurrentMap.putIfAbsent (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","19","9","19"
"86","org.slf4j.LoggerFactory.<clinit> ()V","3953","1","2874"
"87","org.slf4j.helpers.SubstituteLoggerFactory.<init> ()V","1047","1","675"
"88","java.util.concurrent.LinkedBlockingQueue.<init> ()V","366","1","366"
"89","java.util.HashMap.<init> ()V","6","1","6"
"90","org.slf4j.helpers.Util.safeGetBooleanSystemProperty (Ljava/lang/String;)Z","18","1","3"
"91","org.slf4j.helpers.NOPLoggerFactory.<init> ()V","9","1","9"
"92","org.slf4j.helpers.Util.<clinit> ()V","5","1","5"
"93","org.apache.maven.repository.internal.AbstractRepositoryTestCase.customizeContainerConfiguration (Lorg/codehaus/plexus/ContainerConfiguration;)V","272","24","150"
"94","org.codehaus.plexus.ContainerConfiguration.setClassPathScanning (Ljava/lang/String;)Lorg/codehaus/plexus/ContainerConfiguration;","46","24","46"
"95","org.codehaus.plexus.ContainerConfiguration.setAutoWiring (Z)Lorg/codehaus/plexus/ContainerConfiguration;","41","24","41"
"96","org.codehaus.plexus.PlexusTestCase.customizeContainerConfiguration (Lorg/codehaus/plexus/ContainerConfiguration;)V","35","24","35"
"97","org.codehaus.plexus.PlexusTestCase.setUp ()V","128","24","128"
"98","org.slf4j.impl.SimpleLogger.isTraceEnabled ()Z","4","1","3"
"99","org.slf4j.impl.SimpleLogger.isLevelEnabled (I)Z","1","1","1"
"100","org.apache.maven.repository.internal.MavenRepositorySystemUtilsTest.testGetRepositorySystem ()V","199992","1","23088"
"101","org.eclipse.aether.spi.locator.ServiceLocator.getService (Ljava/lang/Class;)Ljava/lang/Object;","163637","13","12635"
"102","org.apache.maven.repository.internal.DefaultArtifactDescriptorReader.initService (Lorg/eclipse/aether/spi/locator/ServiceLocator;)V","144171","1","24895"
"103","org.apache.maven.model.building.DefaultModelBuilderFactory.newInstance ()Lorg/apache/maven/model/building/DefaultModelBuilder;","119170","1","17816"
"104","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelNormalizer ()Lorg/apache/maven/model/normalization/ModelNormalizer;","45895","1","1463"
"105","org.apache.maven.model.normalization.DefaultModelNormalizer.<init> ()V","44432","1","44399"
"106","org.apache.maven.model.normalization.DefaultModelNormalizer$DuplicateMerger.<init> ()V","33","1","14"
"107","org.apache.maven.model.merge.MavenModelMerger.<init> ()V","51","5","27"
"108","org.apache.maven.model.merge.ModelMerger.<init> ()V","24","5","24"
"109","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelValidator ()Lorg/apache/maven/model/validation/ModelValidator;","17652","1","17368"
