"Number","Method","Time","Count","SelfTime"
"56","org.apache.maven.plugin.descriptor.MojoDescriptor.setDependencyResolutionRequired (Ljava/lang/String;)V","1","1","1"
"57","org.apache.maven.plugin.descriptor.MojoDescriptor.setInheritedByDefault (Z)V","1","1","1"
"58","org.apache.maven.plugin.descriptor.MojoDescriptor.setOnlineRequired (Z)V","1","1","1"
"59","org.apache.maven.plugin.descriptor.MojoDescriptor.setProjectRequired (Z)V","1","1","1"
"60","org.apache.maven.plugin.descriptor.MojoDescriptor.setRequiresReports (Z)V","1","1","1"
"61","org.apache.maven.plugin.descriptor.Parameter.getName ()Ljava/lang/String;","2","2","2"
"62","org.apache.maven.plugin.descriptor.Parameter.setEditable (Z)V","1","1","1"
"63","org.apache.maven.plugin.descriptor.PluginDescriptor.addMojo (Lorg/apache/maven/plugin/descriptor/MojoDescriptor;)V","52","2","17"
"64","java.util.List.contains (Ljava/lang/Object;)Z","32","2","6"
"65","org.apache.maven.plugin.descriptor.MojoDescriptor.equals (Ljava/lang/Object;)Z","26","1","15"
"66","org.apache.maven.plugin.descriptor.MojoDescriptor.compareObjects (Ljava/lang/Object;Ljava/lang/Object;)Z","9","2","3"
"67","java.lang.Object.equals (Ljava/lang/Object;)Z","6","1","6"
"68","org.apache.maven.plugin.descriptor.MojoDescriptor.getGoal ()Ljava/lang/String;","2","4","2"
"69","org.apache.maven.plugin.descriptor.MojoDescriptor.getPluginDescriptor ()Lorg/apache/maven/plugin/descriptor/PluginDescriptor;","1","2","1"
"70","org.apache.maven.plugin.descriptor.PluginDescriptor.getMojos ()Ljava/util/List;","5","5","5"
"71","org.apache.maven.plugin.descriptor.PluginDescriptor.<init> ()V","27","1","12"
"72","org.codehaus.plexus.component.repository.ComponentSetDescriptor.<init> ()V","15","1","15"
"73","org.codehaus.plexus.component.repository.ComponentDependency.<init> ()V","13","1","13"
"74","org.codehaus.plexus.component.repository.ComponentDependency.setArtifactId (Ljava/lang/String;)V","4","1","4"
"75","org.apache.maven.plugin.descriptor.PluginDescriptor.setName (Ljava/lang/String;)V","3","1","3"
"76","org.apache.maven.plugin.descriptor.PluginDescriptor.setSource (Ljava/lang/String;)V","3","1","3"
"77","org.codehaus.plexus.component.repository.ComponentDependency.setGroupId (Ljava/lang/String;)V","3","1","3"
"78","org.codehaus.plexus.component.repository.ComponentDependency.setVersion (Ljava/lang/String;)V","3","1","3"
"79","org.apache.maven.plugin.descriptor.PluginDescriptor.setArtifactId (Ljava/lang/String;)V","2","1","2"
"80","org.apache.maven.plugin.descriptor.PluginDescriptor.setDescription (Ljava/lang/String;)V","2","1","2"
"81","org.apache.maven.plugin.descriptor.PluginDescriptor.setGoalPrefix (Ljava/lang/String;)V","2","1","2"
"82","org.apache.maven.plugin.descriptor.PluginDescriptor.setGroupId (Ljava/lang/String;)V","2","1","2"
"83","org.codehaus.plexus.component.repository.ComponentDependency.setType (Ljava/lang/String;)V","2","1","2"
"84","org.apache.maven.plugin.descriptor.PluginDescriptor.setInheritedByDefault (Z)V","1","1","1"
"85","org.apache.maven.plugin.descriptor.PluginDescriptor.setVersion (Ljava/lang/String;)V","1","1","1"
"86","org.codehaus.plexus.util.ReaderFactory.newXmlReader (Ljava/io/InputStream;)Lorg/codehaus/plexus/util/xml/XmlStreamReader;","7292","1","7292"
"87","java.lang.Class.getResourceAsStream (Ljava/lang/String;)Ljava/io/InputStream;","578","1","578"
"88","org.apache.maven.plugin.descriptor.PluginDescriptorBuilder.<init> ()V","10","1","10"
"89","java.lang.Object.getClass ()Ljava/lang/Class;","7","1","7"
"90","java.util.List.get (I)Ljava/lang/Object;","15","5","15"
"91","java.util.List.size ()I","9","4","9"
"92","org.codehaus.plexus.configuration.PlexusConfiguration.getChildCount ()I","5","1","5"
"93","org.codehaus.plexus.configuration.PlexusConfiguration.getChild (I)Lorg/codehaus/plexus/configuration/PlexusConfiguration;","3","1","3"
"94","org.apache.maven.plugin.descriptor.MojoDescriptor.getDependencyCollectionRequired ()Ljava/lang/String;","2","2","2"
"95","org.apache.maven.plugin.descriptor.MojoDescriptor.getDependencyResolutionRequired ()Ljava/lang/String;","2","2","2"
"96","org.apache.maven.plugin.descriptor.MojoDescriptor.getLanguage ()Ljava/lang/String;","2","1","2"
"97","org.apache.maven.plugin.descriptor.MojoDescriptor.getParameters ()Ljava/util/List;","2","2","2"
"98","org.codehaus.plexus.component.repository.ComponentDependency.getArtifactId ()Ljava/lang/String;","2","1","2"
"99","org.codehaus.plexus.component.repository.ComponentDependency.getGroupId ()Ljava/lang/String;","2","1","2"
"100","org.codehaus.plexus.component.repository.ComponentDependency.getType ()Ljava/lang/String;","2","1","2"
"101","org.codehaus.plexus.component.repository.ComponentDependency.getVersion ()Ljava/lang/String;","2","1","2"
"102","org.codehaus.plexus.component.repository.ComponentRequirement.getFieldName ()Ljava/lang/String;","2","1","2"
"103","org.codehaus.plexus.component.repository.ComponentRequirement.getRole ()Ljava/lang/String;","2","1","2"
"104","org.codehaus.plexus.component.repository.ComponentRequirement.getRoleHint ()Ljava/lang/String;","2","1","2"
"105","org.apache.maven.plugin.descriptor.MojoDescriptor.getExecutePhase ()Ljava/lang/String;","1","1","1"
"106","org.apache.maven.plugin.descriptor.MojoDescriptor.getMojoConfiguration ()Lorg/codehaus/plexus/configuration/PlexusConfiguration;","1","3","1"
"107","org.apache.maven.plugin.descriptor.MojoDescriptor.getSince ()Ljava/lang/String;","1","1","1"
"108","org.apache.maven.plugin.descriptor.MojoDescriptor.isAggregator ()Z","1","1","1"
"109","org.apache.maven.plugin.descriptor.MojoDescriptor.isDirectInvocationOnly ()Z","1","1","1"
"110","org.apache.maven.plugin.descriptor.MojoDescriptor.isThreadSafe ()Z","1","2","1"
"111","org.apache.maven.plugin.descriptor.Parameter.getAlias ()Ljava/lang/String;","1","1","1"
