"Number","Method","Time","Count","SelfTime"
"57","org.apache.maven.extension.internal.CoreExtensionEntry.<init> (Lorg/codehaus/plexus/classworlds/realm/ClassRealm;Ljava/util/Collection;Ljava/util/Collection;)V","57","1","11"
"58","java.util.HashSet.<init> (Ljava/util/Collection;)V","105","5","105"
"59","java.util.Collections.unmodifiableSet (Ljava/util/Set;)Ljava/util/Set;","10","3","10"
"60","java.util.Set.addAll (Ljava/util/Collection;)Z","39","2","39"
"61","java.util.Enumeration.hasMoreElements ()Z","3543","30","3543"
"62","java.util.LinkedHashSet.<init> ()V","40","9","40"
"63","java.util.Enumeration.nextElement ()Ljava/lang/Object;","39","22","39"
"64","org.apache.maven.project.ExtensionDescriptorBuilder.getExtensionDescriptorLocation ()Ljava/lang/String;","4","1","4"
"65","java.io.InputStream.close ()V","155","11","155"
"66","org.apache.maven.project.ExtensionDescriptor.getExportedArtifacts ()Ljava/util/List;","1","1","1"
"67","org.apache.maven.eventspy.internal.EventSpyDispatcher$MockitoMock$743307973.init (Lorg/apache/maven/eventspy/EventSpy$Context;)V","13607","1","50"
"68","org.mockito.internal.creation.bytebuddy.MockMethodInterceptor$DispatcherDefaultingToRealMethod.interceptSuperCallable (Ljava/lang/Object;Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;Ljava/lang/reflect/Method;[Ljava/lang/Object;Ljava/util/concurrent/Callable;)Ljava/lang/Object;","14673","25","14598"
"69","org.apache.maven.eventspy.internal.EventSpyDispatcher$MockitoMock$743307973$auxiliary$2EJ4H2uK.<init> (Lorg/apache/maven/eventspy/internal/EventSpyDispatcher$MockitoMock$743307973;Lorg/apache/maven/eventspy/EventSpy$Context;)V","7","1","7"
"70","org.codehaus.plexus.DefaultPlexusContainer.lookup (Ljava/lang/Class;)Ljava/lang/Object;","12389","3","12389"
"71","org.codehaus.plexus.classworlds.ClassWorld.<init> (Ljava/lang/String;Ljava/lang/ClassLoader;)V","3590","1","3590"
"72","org.apache.maven.extension.internal.CoreExtensionEntry.<clinit> ()V","3520","1","3512"
"73","org.apache.maven.project.ExtensionDescriptorBuilder.<init> ()V","8","1","8"
"74","org.apache.maven.cli.MavenCli.parseExtClasspath (Lorg/apache/maven/cli/CliRequest;)Ljava/util/List;","2004","1","5"
"75","org.codehaus.plexus.util.StringUtils.isNotEmpty (Ljava/lang/String;)Z","1997","1","1997"
"76","java.util.Properties.getProperty (Ljava/lang/String;)Ljava/lang/String;","104","188","104"
"77","org.apache.maven.cli.CLIReportingUtils.getBuildProperties ()Ljava/util/Properties;","4853","10","50"
"78","java.lang.Class.getResourceAsStream (Ljava/lang/String;)Ljava/io/InputStream;","3377","10","3377"
"79","java.util.Properties.load (Ljava/io/InputStream;)V","1252","10","1252"
"80","java.util.Properties.<init> ()V","156","55","156"
"81","org.apache.maven.extension.internal.CoreExports.<init> (Lorg/codehaus/plexus/classworlds/realm/ClassRealm;Ljava/util/Set;Ljava/util/Set;)V","141","1","38"
"82","java.util.Map.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","32","71","32"
"83","java.util.HashMap.<init> (Ljava/util/Map;)V","18","1","18"
"84","java.util.Iterator.next ()Ljava/lang/Object;","359","141","359"
"85","java.util.Iterator.hasNext ()Z","71","158","71"
"86","java.util.Set.iterator ()Ljava/util/Iterator;","283","9","283"
"87","java.util.LinkedHashMap.<init> ()V","16","8","16"
"88","java.util.Collections.unmodifiableMap (Ljava/util/Map;)Ljava/util/Map;","2","1","2"
"89","org.apache.maven.cli.event.DefaultEventSpyContext.<init> ()V","20","1","16"
"90","java.util.HashMap.<init> ()V","11","2","11"
"91","org.apache.maven.cli.MavenCli$1.<init> (Lorg/apache/maven/cli/MavenCli;Lorg/apache/maven/extension/internal/CoreExports;)V","18","1","13"
"92","com.google.inject.AbstractModule.<init> ()V","5","1","5"
"93","org.codehaus.plexus.DefaultContainerConfiguration.<init> ()V","14","1","14"
"94","org.codehaus.plexus.logging.LoggerManager.setThresholds (I)V","10","1","8"
"95","org.apache.maven.cli.logging.Slf4jLoggerManager.setThresholds (I)V","2","1","2"
"96","java.lang.Thread.currentThread ()Ljava/lang/Thread;","20","9","20"
"97","org.codehaus.plexus.DefaultPlexusContainer.getLoggerManager ()Lorg/codehaus/plexus/logging/LoggerManager;","9","1","9"
"98","org.codehaus.plexus.ContainerConfiguration.setClassPathScanning (Ljava/lang/String;)Lorg/codehaus/plexus/ContainerConfiguration;","7","1","7"
"99","org.codehaus.plexus.DefaultPlexusContainer.setLookupRealm (Lorg/codehaus/plexus/classworlds/realm/ClassRealm;)Lorg/codehaus/plexus/classworlds/realm/ClassRealm;","7","1","7"
"100","org.codehaus.plexus.classworlds.ClassWorld.getClassRealm (Ljava/lang/String;)Lorg/codehaus/plexus/classworlds/realm/ClassRealm;","7","1","7"
"101","org.codehaus.plexus.ContainerConfiguration.setRealm (Lorg/codehaus/plexus/classworlds/realm/ClassRealm;)Lorg/codehaus/plexus/ContainerConfiguration;","6","1","6"
"102","java.lang.Thread.getContextClassLoader ()Ljava/lang/ClassLoader;","15","8","15"
"103","org.apache.maven.cli.MavenCli.loadCoreExtensions (Lorg/apache/maven/cli/CliRequest;Lorg/codehaus/plexus/classworlds/realm/ClassRealm;Ljava/util/Set;)Ljava/util/List;","5","1","0"
"104","java.util.Collections.emptyList ()Ljava/util/List;","5","1","5"
"105","java.lang.Thread.setContextClassLoader (Ljava/lang/ClassLoader;)V","4","1","4"
"106","java.lang.Object.getClass ()Ljava/lang/Class;","15","14","15"
"107","org.apache.maven.execution.DefaultMavenExecutionRequest.getLoggingLevel ()I","3","1","3"
"108","org.codehaus.plexus.DefaultContainerConfiguration.setClassWorld (Lorg/codehaus/plexus/classworlds/ClassWorld;)Lorg/codehaus/plexus/ContainerConfiguration;","3","1","3"
"109","java.util.List.iterator ()Ljava/util/Iterator;","18","11","18"
"110","org.apache.maven.cli.MavenCli.setupContainerRealm (Lorg/codehaus/plexus/classworlds/ClassWorld;Lorg/codehaus/plexus/classworlds/realm/ClassRealm;Ljava/util/List;Ljava/util/List;)Lorg/codehaus/plexus/classworlds/realm/ClassRealm;","2","1","0"
"111","java.util.List.isEmpty ()Z","18","8","18"
"112","org.apache.maven.cli.event.DefaultEventSpyContext.getData ()Ljava/util/Map;","2","1","2"
"113","org.apache.maven.extension.internal.CoreExtensionEntry.getExportedArtifacts ()Ljava/util/Set;","2","2","2"
"114","org.codehaus.plexus.ContainerConfiguration.setAutoWiring (Z)Lorg/codehaus/plexus/ContainerConfiguration;","2","1","2"
"115","org.codehaus.plexus.ContainerConfiguration.setJSR250Lifecycle (Z)Lorg/codehaus/plexus/ContainerConfiguration;","2","1","2"
"116","org.codehaus.plexus.DefaultPlexusContainer.getContainerRealm ()Lorg/codehaus/plexus/classworlds/realm/ClassRealm;","2","1","2"
"117","org.codehaus.plexus.DefaultPlexusContainer.setLoggerManager (Lorg/codehaus/plexus/logging/LoggerManager;)V","2","1","2"
"118","org.codehaus.plexus.ContainerConfiguration.setName (Ljava/lang/String;)Lorg/codehaus/plexus/ContainerConfiguration;","1","1","1"
"119","org.apache.maven.cli.MavenCli.logging (Lorg/apache/maven/cli/CliRequest;)V","47682","7","10168"
"120","org.apache.maven.cli.logging.impl.Slf4jSimpleConfiguration.activate ()V","7963","6","958"
"121","org.slf4j.impl.MavenSlf4jSimpleFriend.init ()V","6991","6","38"
"122","org.slf4j.LoggerFactory.performInitialization ()V","21378","7","11"
"123","org.slf4j.LoggerFactory.bind ()V","21346","7","1658"
"124","org.slf4j.LoggerFactory.findPossibleStaticLoggerBinderPathSet ()Ljava/util/Set;","3244","7","57"
"125","java.util.Set.add (Ljava/lang/Object;)Z","258","14","258"
"126","java.lang.ClassLoader.getResources (Ljava/lang/String;)Ljava/util/Enumeration;","180","14","180"
"127","java.lang.Class.getClassLoader ()Ljava/lang/ClassLoader;","20","14","20"
"128","org.slf4j.LoggerFactory.reportMultipleBindingAmbiguity (Ljava/util/Set;)V","1134","7","88"
"129","org.slf4j.helpers.Util.report (Ljava/lang/String;)V","1075","35","66"
"130","java.io.PrintStream.println (Ljava/lang/String;)V","972","36","972"
"131","java.lang.StringBuilder.toString ()Ljava/lang/String;","467","498","467"
"132","java.lang.StringBuilder.append (Ljava/lang/Object;)Ljava/lang/StringBuilder;","134","15","134"
"133","org.slf4j.LoggerFactory.isAmbiguousStaticLoggerBinderPathSet (Ljava/util/Set;)Z","27","14","18"
"134","java.util.Set.size ()I","9","14","9"
"135","org.slf4j.LoggerFactory.reportActualBinding (Ljava/util/Set;)V","321","7","32"
"136","org.slf4j.LoggerFactory.isAndroid ()Z","96","7","18"
"137","java.lang.String.contains (Ljava/lang/CharSequence;)Z","48","7","48"
"138","java.lang.String.toLowerCase ()Ljava/lang/String;","17","7","17"
"139","org.slf4j.helpers.Util.safeGetSystemProperty (Ljava/lang/String;)Ljava/lang/String;","27","8","5"
"140","org.slf4j.LoggerFactory.replayEvents ()V","94","7","15"
"141","java.util.concurrent.LinkedBlockingQueue.drainTo (Ljava/util/Collection;I)I","46","7","46"
"142","java.util.ArrayList.<init> (I)V","13","7","13"
"143","java.util.concurrent.LinkedBlockingQueue.size ()I","18","7","18"
"144","org.slf4j.LoggerFactory.fixSubstituteLoggers ()V","114","7","30"
"145","org.slf4j.helpers.SubstituteLoggerFactory.getLoggers ()Ljava/util/List;","69","7","13"
"146","java.util.Map.values ()Ljava/util/Collection;","16","7","16"
"147","org.slf4j.helpers.SubstituteLoggerFactory.clear ()V","56","7","9"
"148","java.util.concurrent.LinkedBlockingQueue.clear ()V","42","7","42"
"149","java.util.Map.clear ()V","5","7","5"
"150","org.slf4j.LoggerFactory.versionSanityCheck ()V","21","7","14"
"151","org.slf4j.impl.SimpleLogger.init ()V","10255","7","3925"
"152","org.slf4j.impl.SimpleLoggerConfiguration.init ()V","6258","7","55"
"153","org.slf4j.impl.SimpleLoggerConfiguration.loadProperties ()V","4255","7","979"
"154","java.security.AccessController.doPrivileged (Ljava/security/PrivilegedAction;)Ljava/lang/Object;","3257","7","41"
"155","org.slf4j.impl.SimpleLoggerConfiguration$1.run ()Ljava/lang/Object;","3216","7","11"
"156","org.slf4j.impl.SimpleLoggerConfiguration$1.run ()Ljava/io/InputStream;","3205","7","23"
"157","java.lang.ClassLoader.getResourceAsStream (Ljava/lang/String;)Ljava/io/InputStream;","3161","7","3161"
"158","org.slf4j.impl.SimpleLoggerConfiguration$1.<init> (Lorg/slf4j/impl/SimpleLoggerConfiguration;)V","19","7","19"
"159","org.slf4j.impl.SimpleLoggerConfiguration.getBooleanProperty (Ljava/lang/String;Z)Z","98","42","32"
"160","org.slf4j.impl.SimpleLoggerConfiguration.computeOutputChoice (Ljava/lang/String;Z)Lorg/slf4j/impl/OutputChoice;","1774","7","1697"
"161","org.slf4j.impl.OutputChoice.<init> (Lorg/slf4j/impl/OutputChoice$OutputChoiceType;)V","15","7","15"
"162","org.slf4j.impl.SimpleLoggerConfiguration.<init> ()V","58","7","38"
"163","org.slf4j.impl.SimpleLoggerFactory.reset ()V","26","6","2"
"164","java.util.concurrent.ConcurrentMap.clear ()V","24","6","24"
"165","org.slf4j.MavenSlf4jFriend.reset ()V","14","6","12"
"166","org.apache.maven.cli.logging.Slf4jConfigurationFactory.getConfiguration (Lorg/slf4j/ILoggerFactory;)Lorg/apache/maven/cli/logging/Slf4jConfiguration;","5009","7","53"
"167","org.codehaus.plexus.util.PropertyUtils.loadProperties (Ljava/io/InputStream;)Ljava/util/Properties;","1786","7","1786"
"168","java.lang.Class.newInstance ()Ljava/lang/Object;","583","7","122"
"169","org.apache.maven.cli.logging.BaseSlf4jConfiguration.<init> ()V","461","7","26"
"170","org.slf4j.LoggerFactory.getLogger (Ljava/lang/Class;)Lorg/slf4j/Logger;","435","7","11"
"171","java.lang.Class.forName (Ljava/lang/String;)Ljava/lang/Class;","11074","8","11074"
"172","java.lang.Class.getCanonicalName ()Ljava/lang/String;","28","7","28"
"173","java.lang.String.substring (II)Ljava/lang/String;","62","82","62"
"174","org.apache.commons.cli.CommandLine.hasOption (C)Z","248","59","248"
"175","java.lang.Class.getName ()Ljava/lang/String;","46","13","46"
"176","org.apache.maven.cli.logging.Slf4jLoggerManager.<init> ()V","34","6","22"
"177","java.util.Properties.getProperty (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","8","7","8"
"178","org.apache.commons.cli.CommandLine.hasOption (Ljava/lang/String;)Z","28","8","28"
"179","org.apache.maven.cli.MavenCli.cli (Lorg/apache/maven/cli/CliRequest;)V","69674","14","3116"
"180","org.apache.maven.cli.CLIManager.<init> ()V","9202","15","2702"
"181","org.apache.commons.cli.OptionBuilder.create (C)Lorg/apache/commons/cli/Option;","3235","255","3235"
