"Number","Method","Time","Count","SelfTime"
"63","org.slf4j.helpers.NOPLoggerFactory.<init> ()V","6","1","6"
"64","org.slf4j.helpers.Util.<clinit> ()V","4","1","4"
"65","org.apache.maven.execution.scope.internal.MojoExecutionScope.<clinit> ()V","366","1","358"
"66","org.apache.maven.execution.scope.internal.MojoExecutionScope$1.<init> ()V","8","1","8"
"67","org.apache.maven.session.scope.internal.SessionScope.<clinit> ()V","365","1","343"
"68","org.apache.maven.session.scope.internal.SessionScope$1.<init> ()V","22","1","22"
"69","org.slf4j.helpers.NOPLogger.isTraceEnabled ()Z","1","1","1"
"70","org.apache.maven.plugin.PluginManagerTest.setUp ()V","1189964","12","143"
"71","org.apache.maven.plugin.PluginParameterExpressionEvaluatorTest.setUp ()V","1040289","16","94"
"72","org.apache.maven.project.AbstractMavenProjectTestCase.setUp ()V","1724242","31","1708112"
"73","org.codehaus.plexus.PlexusContainer.hasComponent (Ljava/lang/Class;Ljava/lang/String;)Z","6246","31","6246"
"74","org.apache.maven.project.AbstractMavenProjectTestCase.getCustomConfigurationName ()Ljava/lang/String;","2968","31","744"
"75","java.lang.String.replace (CC)Ljava/lang/String;","147","45","147"
"76","java.lang.Class.getName ()Ljava/lang/String;","352","31","352"
"77","org.apache.maven.project.AbstractMavenProjectTestCase.customizeContainerConfiguration (Lorg/codehaus/plexus/ContainerConfiguration;)V","201","31","73"
"78","org.codehaus.plexus.PlexusTestCase.setUp ()V","192","38","192"
"79","org.apache.maven.lifecycle.LifecycleExecutorTest.setUp ()V","802274","13","102"
"80","org.apache.maven.toolchain.DefaultToolchainManagerPrivateTest.setUp ()V","792855","4","988"
"81","org.mockito.MockitoAnnotations.initMocks (Ljava/lang/Object;)V","853939","21","853728"
"82","org.apache.maven.toolchain.ToolchainFactory$MockitoMock$175501242.<clinit> ()V","59","1","25"
"83","java.lang.Class.getMethod (Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;","497","52","497"
"84","java.lang.Class.getDeclaredMethod (Ljava/lang/String;[Ljava/lang/Class;)Ljava/lang/reflect/Method;","28","3","28"
"85","org.apache.maven.toolchain.ToolchainFactory$MockitoMock$175501242.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","12","18","12"
"86","org.apache.maven.toolchain.DefaultToolchainManagerPrivate.<init> ()V","49","4","24"
"87","org.apache.maven.toolchain.DefaultToolchainManager.<init> ()V","49","9","49"
"88","java.util.Map.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","1063","416","936"
"89","org.apache.maven.project.DefaultMavenProjectBuilderTest.setUp ()V","701304","11","166"
"90","org.apache.maven.toolchain.DefaultToolchainManagerPrivateTest.testMisconfiguredToolchain ()V","191052","1","29"
"91","org.mockito.Mockito.mock (Ljava/lang/Class;)Ljava/lang/Object;","193408","14","192805"
"92","org.apache.maven.execution.MavenSession$MockitoMock$493827683.<clinit> ()V","474","1","133"
"93","org.apache.maven.execution.MavenSession$MockitoMock$493827683.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","26","8","26"
"94","org.apache.maven.execution.MavenSession$MockitoMock$493827683.getRequest ()Lorg/apache/maven/execution/MavenExecutionRequest;","20625","17","109"
"95","org.mockito.internal.creation.bytebuddy.MockMethodInterceptor$DispatcherDefaultingToRealMethod.interceptSuperCallable (Ljava/lang/Object;Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;Ljava/lang/reflect/Method;[Ljava/lang/Object;Ljava/util/concurrent/Callable;)Ljava/lang/Object;","20488","17","20451"
"96","org.apache.maven.execution.MavenSession$MockitoMock$493827683$auxiliary$EzcyQCrE.<init> (Lorg/apache/maven/execution/MavenSession$MockitoMock$493827683;)V","28","14","28"
"97","org.apache.maven.toolchain.DefaultToolchainManagerPrivate.getToolchainsForType (Ljava/lang/String;Lorg/apache/maven/execution/MavenSession;)[Lorg/apache/maven/toolchain/ToolchainPrivate;","5072","4","105"
"98","org.apache.maven.execution.MavenSession$MockitoMock$493827683.equals (Ljava/lang/Object;)Z","37","8","17"
"99","org.mockito.internal.creation.bytebuddy.MockMethodInterceptor$ForEquals.doIdentityEquals (Ljava/lang/Object;Ljava/lang/Object;)Z","49","19","49"
"100","org.apache.maven.toolchain.ToolchainFactory$MockitoMock$175501242.createDefaultToolchain ()Lorg/apache/maven/toolchain/ToolchainPrivate;","927","7","22"
"101","org.mockito.internal.creation.bytebuddy.MockMethodInterceptor$DispatcherDefaultingToRealMethod.interceptAbstract (Ljava/lang/Object;Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;","6762","30","6718"
"102","org.apache.maven.execution.DefaultMavenExecutionRequest.getToolchains ()Ljava/util/Map;","23","7","17"
"103","java.util.List.toArray ([Ljava/lang/Object;)[Ljava/lang/Object;","13","4","13"
"104","java.util.Map.get (Ljava/lang/Object;)Ljava/lang/Object;","1128","645","794"
"105","java.util.ArrayList.<init> ()V","1236","957","1236"
"106","org.mockito.stubbing.OngoingStubbing.thenReturn (Ljava/lang/Object;)Lorg/mockito/stubbing/OngoingStubbing;","2309","20","2309"
"107","org.mockito.Mockito.when (Ljava/lang/Object;)Lorg/mockito/stubbing/OngoingStubbing;","496","20","496"
"108","org.apache.maven.execution.DefaultMavenExecutionRequest.<init> ()V","690","22","534"
"109","org.eclipse.aether.DefaultRepositoryCache.<init> ()V","156","22","156"
"110","org.junit.Assert.assertEquals (JJ)V","79","33","79"
"111","org.apache.maven.settings.PomConstructionWithSettingsTest.setUp ()V","169578","3","168850"
"112","org.apache.maven.settings.PomConstructionWithSettingsTest.customizeContainerConfiguration (Lorg/codehaus/plexus/ContainerConfiguration;)V","27","3","7"
"113","org.apache.maven.ProjectDependenciesResolverTest.setUp ()V","129185","2","35"
"114","org.apache.maven.lifecycle.internal.LifecycleDependencyResolverTest.setUp ()V","122042","1","40"
"115","org.apache.maven.lifecycle.LifecycleExecutorSubModulesTest.setUp ()V","111785","1","24"
"116","org.apache.maven.MavenTest.setUp ()V","94131","1","11"
"117","org.apache.maven.configuration.DefaultBeanConfiguratorTest.setUp ()V","76321","3","76315"
"118","org.apache.maven.toolchain.building.DefaultToolchainsBuilderTest.onSetup ()V","53707","6","28"
"119","org.apache.maven.toolchain.io.ToolchainsReader$MockitoMock$1951699819.<clinit> ()V","126","1","41"
"120","org.apache.maven.toolchain.io.ToolchainsReader$MockitoMock$1951699819.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","9","6","9"
"121","org.apache.maven.toolchain.io.ToolchainsReader$MockitoMock$1951699819.getMockitoInterceptor ()Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;","5","12","5"
"122","org.apache.maven.lifecycle.DefaultLifecyclesTest.setUp ()V","40637","1","40629"
"123","org.apache.maven.graph.DefaultProjectDependencyGraphTest.testVerifyThatDownstreamProjectsComeInSortedOrder ()V","39397","1","33"
"124","org.apache.maven.graph.DefaultProjectDependencyGraphTest.threeProjectsDependingOnASingle ()Lorg/apache/maven/execution/ProjectDependencyGraph;","39970","3","2154"
"125","org.apache.maven.graph.DefaultProjectDependencyGraph.<init> (Ljava/util/Collection;)V","43322","8","5662"
"126","org.apache.maven.project.ProjectSorter.<init> (Ljava/util/Collection;)V","42165","20","3357"
"127","org.apache.maven.project.ProjectSorter.getId (Lorg/apache/maven/project/MavenProject;)Ljava/lang/String;","18740","92","2824"
"128","org.apache.maven.artifact.ArtifactUtils.key (Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","15171","92","595"
"129","org.apache.commons.lang3.Validate.notBlank (Ljava/lang/CharSequence;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/CharSequence;","14434","468","14434"
"130","org.apache.maven.project.MavenProject.getGroupId ()Ljava/lang/String;","1736","323","663"
"131","org.apache.maven.project.MavenProject.getModel ()Lorg/apache/maven/model/Model;","535","1202","535"
"132","org.apache.maven.model.Model.getGroupId ()Ljava/lang/String;","946","272","946"
"133","org.apache.maven.project.MavenProject.getArtifactId ()Ljava/lang/String;","760","337","490"
"134","org.apache.maven.project.MavenProject.getVersion ()Ljava/lang/String;","743","323","491"
"135","org.apache.maven.model.Model.getVersion ()Ljava/lang/String;","138","258","138"
"136","org.apache.maven.project.MavenProject.getBuildExtensions ()Ljava/util/List;","9573","56","168"
"137","org.apache.maven.project.MavenProject.getBuild ()Lorg/apache/maven/model/Build;","9138","56","79"
"138","org.apache.maven.project.MavenProject.getModelBuild ()Lorg/apache/maven/model/Build;","9059","56","8738"
"139","org.apache.maven.model.Build.<init> ()V","399","58","119"
"140","org.apache.maven.model.BuildBase.<init> ()V","280","58","75"
"141","org.apache.maven.model.PluginConfiguration.<init> ()V","205","58","90"
"142","org.apache.maven.model.PluginContainer.<init> ()V","131","59","131"
"143","org.apache.maven.model.Model.getBuild ()Lorg/apache/maven/model/Build;","85","128","85"
"144","org.apache.maven.model.Model.setBuild (Lorg/apache/maven/model/Build;)V","20","45","20"
"145","org.apache.maven.model.Build.getExtensions ()Ljava/util/List;","156","113","72"
"146","java.util.Collections.unmodifiableList (Ljava/util/List;)Ljava/util/List;","310","108","310"
"147","org.apache.maven.project.ProjectSorter.addEdge (Ljava/util/Map;Ljava/util/Map;Lorg/apache/maven/project/MavenProject;Lorg/codehaus/plexus/util/dag/Vertex;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZZ)V","4140","46","187"
"148","org.apache.maven.project.ProjectSorter.addEdge (Lorg/codehaus/plexus/util/dag/Vertex;Lorg/codehaus/plexus/util/dag/Vertex;Lorg/apache/maven/project/MavenProject;Ljava/util/Map;ZZ)V","3087","42","152"
"149","org.codehaus.plexus.util.dag.DAG.addEdge (Lorg/codehaus/plexus/util/dag/Vertex;Lorg/codehaus/plexus/util/dag/Vertex;)V","1976","41","1976"
"150","org.apache.maven.project.MavenProject.addProjectReference (Lorg/apache/maven/project/MavenProject;)V","743","36","135"
