"Number","Method","Time","Count","SelfTime"
"84","org.apache.maven.model.ScmTest.testEqualsIdentity ()V","2789","1","2754"
"85","org.apache.maven.model.Scm.<init> ()V","43","6","43"
"86","org.apache.maven.model.ActivationFileTest.testEqualsIdentity ()V","2388","1","2367"
"87","org.apache.maven.model.ActivationFile.<init> ()V","29","6","29"
"88","org.apache.maven.model.ExclusionTest.testEqualsIdentity ()V","2014","1","1979"
"89","org.apache.maven.model.Exclusion.<init> ()V","57","6","57"
"90","org.apache.maven.model.CiManagementTest.testEqualsIdentity ()V","1811","1","1793"
"91","org.apache.maven.model.CiManagement.<init> ()V","30","6","30"
"92","org.apache.maven.model.ReportSetTest.testEqualsNullSafe ()V","1273","1","1105"
"93","org.apache.maven.model.DependencyTest.testToStringNullSafe ()V","1025","1","192"
"94","org.apache.maven.model.Dependency.toString ()Ljava/lang/String;","813","1","326"
"95","org.apache.maven.model.PluginManagementTest.testToStringNullSafe ()V","437","1","135"
"96","java.lang.Object.toString ()Ljava/lang/String;","3246","27","3224"
"97","org.apache.maven.model.PluginConfigurationTest.testToStringNullSafe ()V","398","1","138"
"98","org.apache.maven.model.DeploymentRepositoryTest.testToStringNullSafe ()V","367","1","77"
"99","org.apache.maven.model.RepositoryBase.toString ()Ljava/lang/String;","291","2","106"
"100","java.lang.StringBuilder.<init> (I)V","76","5","76"
"101","org.apache.maven.model.RepositoryBase.getId ()Ljava/lang/String;","12","6","12"
"102","org.apache.maven.model.RepositoryTest.testEqualsIdentity ()V","367","1","322"
"103","org.apache.maven.model.ReportingTest.testToStringNullSafe ()V","348","1","93"
"104","org.apache.maven.model.DeveloperTest.testToStringNullSafe ()V","346","1","86"
"105","org.apache.maven.model.ResourceTest.testToStringNullSafe ()V","311","1","25"
"106","org.apache.maven.model.Resource.toString ()Ljava/lang/String;","281","1","36"
"107","org.apache.maven.model.FileSet.toString ()Ljava/lang/String;","198","1","44"
"108","org.apache.maven.model.PatternSet.toString ()Ljava/lang/String;","130","1","29"
"109","org.apache.maven.model.PatternSet.getIncludes ()Ljava/util/List;","24","1","20"
"110","java.util.ArrayList.<init> ()V","5","2","5"
"111","java.lang.StringBuilder.substring (I)Ljava/lang/String;","22","2","22"
"112","java.util.List.iterator ()Ljava/util/Iterator;","10","2","10"
"113","java.util.Iterator.hasNext ()Z","7","2","7"
"114","java.lang.StringBuilder.length ()I","5","2","5"
"115","org.apache.maven.model.PatternSet.getExcludes ()Ljava/util/List;","5","1","4"
"116","org.apache.maven.model.FileSet.getDirectory ()Ljava/lang/String;","4","1","4"
"117","java.lang.StringBuilder.append (Z)Ljava/lang/StringBuilder;","9","1","9"
"118","org.apache.maven.model.Resource.getTargetPath ()Ljava/lang/String;","4","1","4"
"119","org.apache.maven.model.Resource.isFiltering ()Z","3","1","3"
"120","org.apache.maven.model.PluginTest.testToStringNullSafe ()V","284","1","150"
"121","org.apache.maven.model.Plugin.toString ()Ljava/lang/String;","110","1","47"
"122","org.apache.maven.model.ContributorTest.testToStringNullSafe ()V","282","1","69"
"123","org.apache.maven.model.SiteTest.testToStringNullSafe ()V","271","1","123"
"124","org.apache.maven.model.OrganizationTest.testToStringNullSafe ()V","259","1","85"
"125","org.apache.maven.model.LicenseTest.testEqualsNullSafe ()V","250","1","224"
"126","org.apache.maven.model.ExclusionTest.testToStringNullSafe ()V","243","1","80"
"127","org.apache.maven.model.ExtensionTest.testToStringNullSafe ()V","238","1","61"
"128","org.apache.maven.model.Extension.hashCode ()I","57","2","38"
"129","org.apache.maven.model.Extension.getVersion ()Ljava/lang/String;","7","4","7"
"130","org.apache.maven.model.Extension.getArtifactId ()Ljava/lang/String;","14","4","14"
"131","org.apache.maven.model.Extension.getGroupId ()Ljava/lang/String;","6","4","6"
"132","org.apache.maven.model.ParentTest.testEqualsNullSafe ()V","238","1","196"
"133","org.apache.maven.model.PluginConfigurationTest.testEqualsIdentity ()V","235","1","152"
"134","org.apache.maven.model.ReportPluginTest.testEqualsNullSafe ()V","221","1","149"
"135","org.apache.maven.model.RepositoryTest.testToStringNullSafe ()V","213","1","148"
"136","org.apache.maven.model.PrerequisitesTest.testEqualsNullSafe ()V","212","1","179"
"137","org.apache.maven.model.ActivationPropertyTest.testToStringNullSafe ()V","211","1","36"
"138","org.apache.maven.model.RepositoryPolicyTest.testToStringNullSafe ()V","209","1","92"
"139","org.apache.maven.model.PluginContainerTest.testToStringNullSafe ()V","206","1","74"
"140","org.apache.maven.model.PluginTest.testHashCodeNullSafe ()V","196","1","111"
"141","org.apache.maven.model.Plugin.hashCode ()I","66","1","9"
"142","java.lang.String.hashCode ()I","19","1","19"
"143","org.apache.maven.model.ReportSetTest.testToStringNullSafe ()V","187","1","151"
"144","org.apache.maven.model.ReportSet.toString ()Ljava/lang/String;","15","1","12"
"145","org.apache.maven.model.ReportSet.getId ()Ljava/lang/String;","3","1","3"
"146","org.apache.maven.model.NotifierTest.testToStringNullSafe ()V","185","1","59"
"147","org.apache.maven.model.RepositoryTest.testHashCodeNullSafe ()V","185","1","154"
"148","org.apache.maven.model.RepositoryBase.hashCode ()I","22","2","22"
"149","org.apache.maven.model.RepositoryTest.testEqualsNullSafe ()V","182","1","130"
"150","org.apache.maven.model.SiteTest.testHashCodeNullSafe ()V","177","1","102"
"151","java.lang.Object.hashCode ()I","1016","33","1016"
"152","org.apache.maven.model.ParentTest.testToStringNullSafe ()V","172","1","41"
